Grade 7 
Group A: Songs in a dramatic context 
A(i): Opera, operetta & oratorio 
	Key & range 	Composer 	Song  	Book 	Publisher & code 
Soprano 				
1 	Bm;  d'-f#" 	Bach, J S 	Quia respexit (Magnificat in D, BWV 243) (end on first note of following chorus) 	Magnificat in D, BWV 243: vocal score 	Bärenreiter BA5103-90 
2  	Cm; c'-b♭''  	Dove 	Barbarina's Remorse (L'Augellino Belverde) 	Songs & Arias for Soprano 	Peters EP898 
3  	B♭; e♭'-f"  	Fauré 	Pie Jesu (Requiem) 	Sacred Soprano Arias or Sing Solo: Sacred (high) 	Mayhew 3611728 or OUP 9780193457843 
4  	B♭; f'-g"  	Handel 	He Shall Feed His Flock (version 1) (with recit: Then shall the eyes) (Messiah) (Watkins Shaw edition) 	Messiah: vocal score 	Novello NOV070137 
5  	A; d#'-f#"  	Handel 	O Had I Jubal’s Lyre (Joshua) 	45 Arias from Operas & Oratorios vol. 2 (high) or Sacred Soprano Arias 	IMC 1695 or Mayhew 3611728 
6  	Em; d'-g"  	Handel 	O That I on Wings Could Rise (Theodora) 	Theodora: vocal score 	Novello NOV070459 
7  	F; f'-g"  	Handel 	V’adoro, pupille (Guilio Cesare) 	45 Arias from Operas & Oratorios vol. 3 (high) or vocal score 	IMC 1697 or Bärenreiter BA4078-90 
8  	Dm; f'-a"  	Marqués 	Lagrimas mías (El anillo de hierro) 	Zarzuela! 	UME UMV24369 
9  	C; g'-g"  	Mozart 	Vedrai carino (Don Giovanni) 	Arias for Soprano or The Prima Donna’s Album 	Schirmer GS81097 or Schirmer GS32555 
10 	 F; f'-b♭"  	Sullivan 	Sorry Her Lot (HMS Pinafore) 	Gilbert and Sullivan for Singers (Soprano) 	Hal Leonard HL00740214 
11 	 C; f'-f"  	Vivaldi 	Domine(Gloria,Deus RV589) 	Sing Solo: Soprano or vocal score 	OUP 9780193457805 or Novello NOV078441 
Mezzo-soprano, alto and countertenor 		
12 	Bm; b-f" 	Bizet 	Seguidilla: Près de les remparts de Seville (Carmen) 	French Operatic Arias for Mezzo-Soprano 	Peters EP7553 
13 	C; c'-f" 	Donizetti 	Il segreto per esser felici (Lucrezia Borgia) 	Arias for Mezzo-Soprano 	Schirmer GS81098 
14 	C; d'-g" 	Gounod 	Faites-lui mes aveux (Faust) 	French Operatic Arias for Mezzo-Soprano 	Peters EP7553 
15  	F; c'-e"  	Handel 	Father of Heav’n (Judas Maccabæus) 	45 Arias from Operas & Oratorios vol. 1 (low) 	IMC 1694 
16  	Fm; b♭-e♭" 	 Handel 	Hence, Iris, Hence Away (Semele) 	Semele: vocal score 	Novello NOV070146 
17  	C; b-a'  	Monteverdi 	Arnalta’s Lullaby (L’incoronazione di Poppea, Act II Scene X) 	L’incoronazione di Poppea: vocal score 	Novello NOV200184 
18  	D♭; c'-a♭"  	Strauss, J 	Chacun à son goût (Die Fledermaus) 	Operatic Anthology vol. II (Mezzo-Soprano and Alto) 	Schirmer GS32584 
19  	E♭; b♭-e♭"  	Sullivan 	Were I thy Bride (Yeoman of the Guard) 	The Authentic Gilbert and Sullivan Songbook 	Dover 0486234827 
20  	E♭; b♭-f"  	Thomas 	Me voici dans son boudoir (Mignon) 	Operatic Anthology vol. II (Mezzo-Soprano and Alto) 	Schirmer GS32584 
Tenor 				
21  	A; e-f#'  	Handel 	Gentle Airs, Melodious Strains! (Athalia) 	The Oratorio Anthology (Tenor) 	Hal Leonard HL00747060 
